environment: 
YAML: configs/bt.sc.c100.yaml
==> SEED: 42
==> num_classes: 100
==> data_name: cifar100
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar100', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.sc.c100.r18.e800.pth
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'score'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> config: configs/bt.sc.c100.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [157/800] train_loss_con: 772.284 energy_loss: 199.329
[GPU2] epochs: [158/800] train_loss_con: 772.689 energy_loss: 199.448
[GPU2] epochs: [159/800] train_loss_con: 770.781 energy_loss: 199.262
[GPU2] epochs: [160/800] train_loss_con: 768.692 energy_loss: 198.762
[GPU2] epochs: [161/800] train_loss_con: 770.534 energy_loss: 198.667
[GPU2] epochs: [162/800] train_loss_con: 767.982 energy_loss: 198.810
[GPU2] epochs: [163/800] train_loss_con: 768.584 energy_loss: 198.383
[GPU2] epochs: [164/800] train_loss_con: 767.188 energy_loss: 198.569
[GPU2] epochs: [165/800] train_loss_con: 759.290 energy_loss: 198.200
[GPU2] epochs: [166/800] train_loss_con: 761.041 energy_loss: 198.473
[GPU2] epochs: [167/800] train_loss_con: 760.475 energy_loss: 197.644
[GPU2] epochs: [168/800] train_loss_con: 754.342 energy_loss: 197.724
[GPU2] epochs: [169/800] train_loss_con: 765.260 energy_loss: 197.823
[GPU2] epochs: [170/800] train_loss_con: 759.987 energy_loss: 197.718
[GPU2] epochs: [171/800] train_loss_con: 754.756 energy_loss: 197.648
[GPU2] epochs: [172/800] train_loss_con: 754.871 energy_loss: 197.250
[GPU2] epochs: [173/800] train_loss_con: 754.701 energy_loss: 196.992
[GPU2] epochs: [174/800] train_loss_con: 751.683 energy_loss: 196.860
[GPU2] epochs: [175/800] train_loss_con: 750.610 energy_loss: 196.125
[GPU2] epochs: [176/800] train_loss_con: 755.533 energy_loss: 196.455
[GPU2] epochs: [177/800] train_loss_con: 745.181 energy_loss: 196.523
